id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;created;visible;ordering
124;41;1;54;basic;0;;;;;;medalBased;1;6;Základní sběr pro 2;;roboarena-zakladni-2-hraci;<xml id="toolbox" style="display: none">    <block type="draw_move_forward_n"></block>    <block type="draw_step_back"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>      <block type="controls_repeat_ext">      <value name="TIMES">        <block type="math_number">          <field name="NUM">2</field>        </block>       </value>    </block> </xml>;2019-03-22 16:29:05;1;2
125;41;1;54;basic;0;;;;;;medalBased;1;5;Rozcvička;;roboarena-rozcvicka-2-hraci;<xml id="toolbox" style="display: none">    <block type="draw_move_forward_1"></block>    <block type="draw_step_back"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>  </xml>;2019-03-28 10:28:24;1;1
126;41;1;54;basic;0;;;;;;medalBased;1;8;Podmínky;;roboarena-podminky-2-hraci;<xml id="toolbox" style="display: none">    <block type="draw_move_forward_n"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>      <block type="draw_move_forward_if"></block>    <block type="draw_turn_right_90_if"></block>    <block type="draw_turn_left_90_if"></block>    <block type="condition_color"></block>          <block type="condition_front"></block>    <block type="condition_sight"></block>    <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">2</field>          </block>        </value>    </block> </xml>;2019-04-03 11:29:38;1;5
127;41;1;54;basic;0;;;;;;medalBased;1;7;Úkroky;;roboarena-ukroky-2-hraci;<xml id="toolbox" style="display: none">    <block type="draw_move_forward_n"></block>    <block type="draw_step_back"></block>     <block type="draw_step_left"></block>    <block type="draw_step_right"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>      <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">2</field>          </block>        </value>    </block> </xml>;2019-04-04 15:44:43;1;3
128;26;1;39;basic;0;;58;122;4,5,28,43,44,46,47,56,69,121,122,130,136,140,143;;medalBased;1;6;Vybuchující muchomůrka;;sipkovana-vybuchy;;2019-04-04 21:24:27;1;9
129;41;1;54;basic;0;;;;;;medalBased;1;9;Boj pokročilý pro 2;;roboarena-strileni-2-hraci;<xml id="toolbox" style="display: none">    <category name="Základní">    <block type="draw_move_forward_n"></block>    <block type="draw_step_back"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>     </category>  <category name="Úkroky">           <block type="draw_step_left"></block>     <block type="draw_step_right"></block>  </category>    <category name="Opakování">       <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">2</field>          </block>        </value>      </block>     </category>    <category name="Boj">        <block type="shoot"></block>        <block type="shield"></block>    </category></xml>;2019-04-05 10:11:15;1;6
130;26;1;39;basic;0;;62;120;4,28,42,43,44,46,62,122,128,135,136,140,143;;medalBased;1;5;Lesní výpravy I;;sipkovana-lesni-vypravy;;2019-04-06 12:53:50;1;6
133;42;1;54;basic;0;;;;;;medalBased;1;6;Rozcvička pro 4;;roboarena-rozcvicka-4-hraci;<xml id="toolbox" style="display: none">    <block type="draw_move_forward_1"></block>    <block type="draw_step_back"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>  </xml>;2019-04-24 13:12:22;1;0
134;43;1;58;basic;1;;;135;42,48,54,55,58,62,64,135;;medalBased;1;3;Malovací rozcvička;;malovani-rozcvicka;<xml id="toolbox" style="display: none">     <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVEBACKWARD</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVELEFT</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVERIGHT</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>            <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_image">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block></xml>;2019-04-24 20:45:13;1;1
135;43;1;58;basic;0;;134;136;4,28,42,43,55,58,62,64,130,134;;medalBased;1;4;Obrázky;;malovani-obrazky;<xml id="toolbox" style="display: none">     <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>            <block type="draw_move">     <field name="DIR">MOVEBACKWARD</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVELEFT</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVERIGHT</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_rectangle">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">100</title>        </block>      </value>      <value name="HEIGHT">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_image">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block></xml>;2019-04-24 20:48:27;1;2
